Open,High,Low,Close,Volume
92.7,99.7,89.95,93.89,271879400.0
92.7,92.95,89.5,89.89,66332498.0
88.94,90.48,86.62,87.17,38861975.0
88.47,90.57,87.22,90.57,31864232.0
91.09,91.5,88.5,88.92,28526179.0
89.73,90.46,88.66,90.46,18339716.0
89.62,89.7,88.02,88.75,25279264.0
89.0,90.88,88.46,88.85,24408983.0
88.7,88.94,86.04,86.1,24012926.0
86.27,88.2,85.611,87.06,21469688.0
88.1,89.94,87.65,88.1,18472777.0
89.15,89.65,88.06,88.31,9276113.0
87.95,89.7,87.06,87.67,12791745.0
88.0,88.5,87.06,88.3,10255103.0
88.51,90.35,88.0,88.79,21492810.0
88.25,88.74,85.24,85.88,15424490.0
86.85,86.89,84.92,85.12,14845004.0
85.81,85.88,83.22,84.95,15567286.0
84.04,86.49,82.81,85.6,16824274.0
84.98,89.175,84.015,88.85,15216307.0
90.4,90.9,87.6701,87.91,17360731.0
88.0,89.5,87.86,88.26,9861999.0
89.1,92.5,88.5,90.9,23207990.0
92.25,93.5,91.01,91.63,20331868.0
92.92,94.7,92.82,94.45,20576847.0
95.07,98.0,94.78,95.76,32112882.0
97.0,98.85,96.3,97.79,28236381.0
99.84,100.67,98.61,99.68,32127642.0
99.88,100.0,96.82,98.31,28655356.0
98.48,99.44,97.3,98.73,15460454.0
100.1,100.22,98.1356,98.6,18128280.0
99.67,102.8,99.05,101.8,40787875.0
100.425,106.359,99.51,106.07,67721166.0
108.48,110.14,106.48,108.67,48283787.0
109.3,111.7,107.21,111.57,33485283.0
112.93,114.77,111.75,114.56,51457292.0
117.27,119.45,115.2,119.15,75636276.0
117.25,117.55,113.69,114.54,71152418.0
115.05,119.07,114.02,118.2,53801203.0
119.3,120.0,114.55,114.84,62162512.0
115.06,115.39,113.35,115.1,29799885.0
115.44,115.63,113.13,114.25,22539966.0
114.33,114.38,110.41,110.81,41097971.0
109.83,110.68,107.22,108.82,46810415.0
107.81,112.44,107.26,109.82,36452611.0
113.21,113.5,110.4354,110.73,27404233.0
112.0,113.93,111.55,113.92,20598015.0
114.94,115.17,112.33,113.47,23484800.0
113.33,113.74,112.33,112.67,11832909.0
113.14,113.23,111.11,111.64,8077842.0
110.02,110.05,103.8961,105.99,38464170.0
107.35,110.0,106.61,109.89,18785046.0
110.4,111.68,108.798,110.64,16221061.0
110.1,110.5,108.91,109.17,10838699.0
109.6,110.35,107.76,107.9,12148064.0
105.97,107.4,104.2101,105.07,19191645.0
102.27,107.95,101.2,107.48,24848593.0
107.09,107.38,103.51,103.88,18425955.0
104.44,106.84,104.29,104.97,15677841.0
104.7,107.45,104.179,105.11,14518618.0
106.39,107.77,103.7,104.7,16521759.0
103.75,107.68,103.7,105.77,21682427.0
107.11,109.19,106.28,109.02,17311145.0
110.58,111.2,108.26,109.25,22771998.0
109.93,110.65,108.04,110.65,14857753.0
110.63,110.98,108.53,108.77,13024963.0
108.3,108.47,103.88,105.52,19085311.0
105.68,107.21,105.6,105.95,5870358.0
105.99,106.94,105.5,105.95,6525325.0
105.95,107.66,105.64,105.98,8068606.0
105.64,106.71,105.13,105.75,10205745.0
106.46,106.47,103.69,103.94,10283426.0
104.24,104.72,102.52,103.6,12295643.0
102.76,103.02,99.9,101.0,18337015.0
101.25,103.85,100.11,103.32,15710276.0
104.59,104.74,102.03,102.13,11041525.0
102.95,105.3399,102.68,105.03,12910385.0
105.24,105.3,102.89,103.02,10144452.0
103.2,103.36,101.21,101.62,7974693.0
102.59,102.85,100.01,100.77,11535843.0
99.28,100.18,98.06,99.58,17793274.0
99.67,100.14,96.02,96.31,18223007.0
96.09,97.8,95.52,96.89,13327946.0
98.3,100.21,97.59,100.04,12071452.0
100.75,103.86,100.32,103.29,15174226.0
104.6,104.92,103.1,104.0,11417124.0
104.02,105.2,103.02,103.11,9870077.0
104.4,105.13,103.33,103.99,10659725.0
102.89,103.57,100.58,102.94,15659923.0
100.3,101.49,97.79,98.45,42080467.0
90.53,90.74,87.36,89.81,76505997.0
89.6,92.0,88.11,89.08,36792799.0
91.13,91.66,88.61,90.13,18852195.0
91.65,91.65,89.9,90.61,13512263.0
90.99,91.88,89.48,90.0,14635083.0
89.58,89.84,86.1,87.0,28914066.0
87.11,87.4,85.42,85.68,17617399.0
85.83,86.75,85.47,86.0,12102125.0
87.01,87.47,86.52,87.26,12043343.0
87.58,87.7,85.82,86.0,12354728.0
85.6,88.3,85.55,87.1,15177782.0
88.2,89.3,87.65,89.05,14665220.0
88.78,88.99,86.7,86.85,15186136.0
87.1,87.43,86.5,86.74,7417462.0
86.81,87.87,86.71,86.89,7600234.0
87.25,87.29,86.38,86.64,7816501.0
86.51,86.68,85.25,85.47,9360524.0
85.53,85.53,83.88,84.69,15846433.0
84.38,86.83,84.36,86.19,13645741.0
86.92,87.16,85.2,85.37,8760579.0
85.95,86.56,85.0,85.12,8374861.0
85.0,85.02,83.75,84.0,11208487.0
82.95,83.25,80.03,81.58,39202637.0
80.27,85.8265,80.17,85.49,36536835.0
85.75,86.27,84.01,86.1,18514791.0
85.74,86.0,84.05,84.4,10673713.0
84.35,84.35,81.48,82.53,17616541.0
81.09,83.15,80.65,82.97,13817017.0
83.0,83.38,81.19,81.99,12758576.0
82.1,82.9,81.53,81.92,11232001.0
81.8,81.92,80.77,81.86,12659049.0
82.01,85.2,81.94,84.0,16861665.0
84.01,85.1,83.51,84.5,17615419.0
83.87,85.95,83.3,84.59,35642574.0
85.11,87.04,85.0,85.74,30452838.0
86.33,86.8,85.09,85.2,21181463.0
85.25,85.53,84.21,84.25,10914306.0
84.35,84.5,82.39,83.63,14511455.0
83.94,84.48,82.67,83.75,13504082.0
83.2,84.995,82.96,84.17,12198461.0
84.78,85.15,83.34,84.58,9700062.0
85.03,85.15,83.75,83.9,10017292.0
83.64,84.45,83.2,83.24,11810161.0
83.37,83.72,82.18,82.36,14896406.0
82.88,83.0,81.25,82.28,19868163.0
82.05,82.59,81.6139,81.82,12805882.0
81.94,82.95,81.88,82.21,9436412.0
83.3,85.54,83.0655,85.39,26161527.0
87.03,87.69,85.2,86.14,27775333.0
86.68,86.69,84.15,84.58,18292930.0
85.16,85.71,83.82,84.28,15797050.0
84.63,85.13,83.53,85.0,11819027.0
85.08,85.36,84.16,84.67,12225844.0
85.15,85.4,83.89,84.06,12048583.0
83.08,83.25,81.61,81.9,22670880.0
82.25,82.69,81.52,82.2,13470955.0
82.86,82.92,82.14,82.42,10055961.0
82.78,82.84,81.52,82.05,13306009.0
81.88,82.75,81.62,82.28,11468043.0
82.88,84.99,82.8,84.57,21058385.0
85.53,86.27,84.65,84.9,17404153.0
85.54,85.57,83.82,85.08,11102776.0
84.06,84.4,81.64,82.45,21090623.0
82.22,82.65,80.4399,81.29,14202821.0
81.03,82.25,80.11,81.17,17910494.0
81.17,81.56,80.12,80.59,21535859.0
80.44,80.9,77.77,79.54,32638429.0
79.65,80.85,79.51,80.0,24930592.0
88.83,89.29,84.91,86.0,69419330.0
87.82,88.27,86.89,87.06,30134718.0
86.7,87.67,86.06,86.72,19775197.0
87.05,87.5,86.14,86.77,16070155.0
87.08,88.47,87.0,87.53,19015929.0
87.74,88.48,87.53,88.4,12077287.0
88.51,88.96,88.05,88.46,13417982.0
87.61,87.93,86.61,87.11,13487014.0
86.99,88.8,86.47,88.21,20727734.0
88.14,90.8,87.3,90.7,29792036.0
91.35,94.77,90.92,93.88,40694218.0
94.28,95.06,93.19,93.27,22183344.0
93.65,93.92,91.55,92.52,15652075.0
92.22,92.99,91.6,92.6,9504958.0
91.69,91.93,90.58,90.95,14212989.0
91.35,91.5,89.32,89.32,13887401.0
90.09,90.99,89.49,90.78,9902910.0
90.55,91.54,90.19,90.51,9857127.0
90.73,91.04,89.9,90.79,9428006.0
90.71,91.41,90.27,90.59,8689039.0
90.46,91.6,90.46,90.71,11353884.0
90.65,91.6,88.2427,88.29,15702324.0
88.04,88.18,86.12,87.58,16081784.0
87.7,88.99,87.2,88.9,12551297.0
89.03,89.48,87.1,87.21,13716159.0
87.42,87.79,86.48,86.63,9977141.0
86.3,87.17,86.05,86.12,10230405.0
86.003,86.7,85.6101,86.09,10974185.0
86.58,87.8,86.48,86.8,10241517.0
86.97,87.59,86.32,86.75,11731753.0
86.51,86.6,85.17,85.74,10255706.0
86.07,86.4,85.58,85.68,7144947.0
85.98,86.34,84.83,85.08,11411344.0
85.163,85.81,84.85,85.17,9433594.0
85.47,85.6,84.9,85.24,8921481.0
84.63,84.65,82.82,83.28,12665629.0
81.64,82.88,80.8,81.07,15196233.0
82.58,83.69,81.96,82.27,12624595.0
82.6,83.0,81.99,82.46,5949978.0
82.12,82.32,81.78,82.07,6760209.0
80.56,81.5,80.12,80.23,11858883.0
79.45,79.79,76.21,79.62,34217470.0
76.58,78.79,76.22,77.94,22714886.0
80.93,81.19,79.04,79.04,19778690.0
81.13,81.2,79.84,80.3,11221369.0
80.92,82.2,80.7,81.86,10350512.0
81.58,82.02,81.1301,81.5,7516521.0
80.9,81.5,80.21,80.73,9514204.0
81.39,82.0,80.9,81.53,8604535.0
81.99,83.7,81.58,83.36,14499537.0
83.56,83.68,82.05,82.67,8122880.0
83.11,83.25,82.22,82.54,5749035.0
82.16,84.75,82.0,84.15,11207168.0
84.66,84.97,83.25,83.88,7452287.0
85.17,85.38,82.65,83.02,8757736.0
80.85,81.7,79.68,81.4,12185711.0
80.67,80.8,79.25,80.56,12119416.0
80.98,81.3689,80.01,80.26,7177109.0
80.11,80.64,79.45,79.96,6934278.0
79.85,79.905,78.2,78.34,12686961.0
78.2,78.5,77.11,77.99,9271488.0
78.07,79.354,77.8,78.87,8501158.0
79.59,80.42,79.48,79.82,7460048.0
79.85,80.75,78.64,78.96,9283342.0
79.65,80.2,78.66,78.82,8738846.0
79.86,80.99,79.5,80.47,11271708.0
79.481,80.0,76.15,77.34,22976585.0
72.32,73.85,71.03,73.38,41189332.0
74.0,76.73,73.66,75.11,23212807.0
74.53,75.49,74.46,74.76,12367296.0
74.85,75.24,74.16,75.19,12677386.0
74.05,75.13,73.73,73.88,11148992.0
73.15,73.56,72.81,73.12,18174057.0
71.98,72.78,70.03,70.32,20995615.0
69.32,70.66,68.18,68.18,29118492.0
58.16,67.48,58.0,65.8,31368489.0
68.84,70.33,67.49,68.57,29926192.0
68.95,69.45,65.75,68.66,26341784.0
70.8,71.59,70.02,70.84,18121569.0
69.67,70.5,69.045,70.07,10604358.0
69.12,69.3,66.02,66.12,18456401.0
64.58,66.84,64.05,64.83,23458737.0
65.56,66.0,64.971,65.54,13373844.0
65.821,66.89,65.41,66.47,15803187.0
65.405,65.57,63.34,63.91,18186409.0
65.78,66.81,60.25,60.91,50302032.0
62.73,64.67,62.53,64.04,33147863.0
63.52,64.25,63.34,63.83,13279967.0
63.37,64.79,62.7,64.63,17738840.0
62.55,63.26,61.48,62.6,26763268.0
61.45,65.36,61.11,64.85,29035034.0
65.61,68.08,65.26,67.23,25798359.0
66.41,66.65,65.6,66.0,16594558.0
65.4,65.75,64.01,65.75,20127316.0
65.38,66.4,62.96,63.9,22350809.0
62.94,63.27,61.58,61.9,14893050.0
61.96,62.3,59.68,60.0,22684620.0
59.42,60.34,58.21,59.92,20635538.0
60.63,60.84,58.92,59.24,17002577.0
58.81,60.12,57.315,57.39,20565547.0
57.3,58.65,57.2,57.82,16769818.0
58.87,60.08,58.35,58.97,16552047.0
59.5,59.83,58.23,58.87,8147114.0
58.36,63.24,58.2,63.2,22351551.0
63.47,64.775,62.2,63.93,13582718.0
63.72,64.73,63.28,63.92,9616109.0
64.84,66.66,64.38,66.28,15796463.0
66.04,68.41,65.96,67.7,18667535.0
68.2,69.45,67.31,68.71,14762889.0
69.64,70.47,69.0,70.3,15549080.0
69.49,70.32,68.38,69.68,13052831.0
69.5,69.7,67.425,68.54,12283664.0
69.34,72.44,69.26,71.78,18202981.0
72.5,73.64,71.21,71.99,15950105.0
71.8,73.0,71.522,72.65,10886932.0
72.99,73.0,71.55,71.79,11093433.0
71.66,71.79,68.89,69.48,16859477.0
70.16,71.63,70.07,70.99,10800667.0
73.98,75.76,72.84,75.62,22510817.0
75.44,77.42,75.13,76.35,24819715.0
82.11,82.79,78.25,79.44,50798635.0
79.48,82.545,79.2001,82.35,25015402.0
81.97,82.53,80.82,82.22,16418896.0
82.7,84.44,82.6,83.83,20740519.0
83.52,84.83,82.75,84.35,13824530.0
84.0,84.59,83.13,83.44,11640252.0
84.45,85.6,84.03,85.4,23716378.0
85.22,86.42,84.2,85.38,20639712.0
85.53,86.35,80.77,83.61,38523836.0
83.44,83.47,80.22,81.38,19084140.0
81.1,82.43,79.62,81.43,21987573.0
82.28,82.49,78.12,79.85,29636606.0
78.99,80.5,78.45,78.76,18831327.0
77.15,78.0,75.64,75.85,24223719.0
75.83,78.75,75.77,78.3,17041841.0
78.9,79.14,77.47,78.13,12469836.0
78.25,78.31,76.15,77.69,16730971.0
78.06,79.15,77.403,77.87,15689060.0
78.44,80.785,78.4,79.95,21024023.0
80.45,82.19,79.97,81.31,18762369.0
80.85,81.11,79.27,80.86,15280077.0
80.91,82.675,80.82,81.71,16329710.0
80.57,81.41,79.275,81.38,12600339.0
81.5,84.47,81.38,84.08,97881744.0
83.77,84.39,83.5,84.0,26215397.0
84.27,85.82,84.25,85.0,36607966.0
85.05,85.1,82.1,82.59,23019635.0
82.58,85.0,82.42,84.85,15551923.0
84.8,85.1299,84.2,84.76,11874979.0
82.77,84.67,82.61,84.38,14658070.0
84.37,85.2,82.97,83.42,21919178.0
83.34,84.34,82.85,84.33,10464148.0
82.85,83.05,79.422,79.74,20788768.0
80.15,80.76,78.99,80.57,12074086.0
81.06,83.39,80.9,82.49,13054779.0
83.3,85.05,82.995,84.63,16573495.0
85.0,85.32,82.85,83.56,13003014.0
83.2,83.75,82.03,82.65,12168392.0
83.15,83.73,82.43,82.87,8093526.0
82.89,85.1,82.89,84.84,12776096.0
85.05,85.09,83.72,84.8,11237102.0
84.56,84.8,83.41,83.71,3775327.0
82.56,82.75,81.52,82.14,9318565.0
82.5,83.51,82.41,83.26,6942246.0
82.95,83.11,81.5,81.68,6981996.0
81.48,82.17,81.25,81.27,6743957.0
78.18,78.31,75.18,76.69,23056681.0
77.92,78.68,77.26,78.63,14211106.0
77.12,78.485,76.97,77.33,11565711.0
73.29,75.5,71.54,72.72,27275622.0
74.33,74.66,70.67,70.8,20811271.0
71.29,71.73,69.02,69.92,16959489.0
71.45,72.77,71.0,72.68,13451556.0
72.77,73.239,70.22,70.29,12480235.0
70.29,72.72,68.27,72.25,17718347.0
68.7,71.0,67.541,69.59,20718895.0
71.94,72.31,69.81,70.13,17417299.0
68.025,69.1124,65.34,68.71,19451436.0
68.78,71.65,67.1437,70.72,16562447.0
72.51,73.34,69.89,70.37,15826852.0
70.8,70.8,69.02,69.72,14782202.0
69.01,70.19,68.88,69.77,11467271.0
69.96,71.42,68.745,69.54,18227510.0
72.55,73.15,66.67,66.92,33153782.0
67.98,68.93,65.4,67.03,25585887.0
66.5,67.7,65.35,67.03,16212002.0
67.05,67.7399,64.66,65.09,19147866.0
65.6,65.73,60.87,63.44,31915406.0
64.33,65.72,63.1,64.86,22910605.0
64.71,64.86,62.18,62.64,12841035.0
60.9,62.05,60.45,61.1,16155235.0
60.11,62.22,59.25,61.39,12734767.0
61.9,63.09,60.87,61.78,8996854.0
60.25,61.63,59.85,60.57,15006102.0
61.27,62.78,60.28,60.89,13666326.0
64.42,66.89,64.04,66.29,21724914.0
67.17,67.39,65.68,66.38,14454365.0
67.0,68.5,66.23,66.52,14546878.0
66.8,67.75,66.09,67.28,12333237.0
68.3,69.53,67.98,68.84,13404333.0
68.5,68.66,66.465,66.97,12929567.0
66.17,67.69,65.21,67.23,10775530.0
65.67,66.72,64.66,66.66,14675595.0
68.09,68.83,66.86,66.91,12079268.0
67.64,70.58,67.56,68.81,17983242.0
70.02,71.84,69.86,70.86,14004402.0
