Open,High,Low,Close,Volume
5.85,6.25,5.75,5.75,25838.0
6.05,6.5,5.5,6.0,17658.0
6.4,6.95,6.4,6.95,10736.0
7.1,7.1,6.4,6.6,19767.0
6.35,6.7,6.3,6.3,21752.0
6.8,6.8,6.52,6.7,16575.0
6.95,7.4,6.95,7.4,29852.0
7.45,7.45,7.05,7.35,2456.0
6.9,7.1,6.6,6.6,13371.0
6.7,7.05,6.7,6.9,9274.0
7.05,7.05,6.95,6.95,9242.0
6.9,7.0,6.55,6.55,690344.0
6.45,6.45,6.2,6.3,9285.0
6.2,6.55,6.15,6.4,80515.0
6.45,6.7,6.4,6.45,32893.0
6.35,6.7,6.35,6.45,8430.0
6.35,6.65,6.3,6.4,21212.0
6.5,6.65,6.32,6.4,32111.0
6.25,6.55,6.1,6.55,59484.0
6.35,6.35,6.0,6.05,35014.0
6.05,6.39,6.05,6.25,21015.0
6.5,6.5,6.2,6.2,24411.0
6.2,6.3,6.2,6.25,33194.0
6.1,6.35,6.05,6.05,25412.0
5.6,5.8,5.6,5.7,16418.0
5.75,5.8,5.4,5.5,222207.0
5.425,5.85,5.25,5.85,242871.0
5.3,5.6,5.3,5.32,28731.0
5.32,5.35,5.15,5.15,59972.0
5.3,5.45,5.26,5.35,23177.0
5.3,5.4,5.2,5.2,40004.0
5.4,5.65,5.4,5.45,99229.0
5.65,5.8,5.5,5.55,37517.0
5.6533,5.6533,5.5,5.5,133333.0
5.6,5.7,5.6,5.6,8912.0
5.65,5.85,5.65,5.8,32162.0
6.0,6.25,6.0,6.1,45910.0
6.25,6.4,6.1,6.1,27554.0
6.0,6.0,6.0,6.0,1240.0
6.1,6.3,6.05,6.2,28407.0
6.05,6.1,5.95,5.95,62538.0
5.95,6.0,5.95,5.95,2115.0
5.95,6.0,5.95,5.95,6882.0
6.1,6.15,5.95,5.95,28056.0
6.2,6.35,6.1,6.3,56634.0
6.0,6.2,6.0,6.06,34262.0
6.15,6.45,6.15,6.45,600.0
6.35,6.73,6.2,6.73,58845.0
6.5,6.5,6.2,6.22,184167.0
6.25,6.35,6.2,6.25,12516.0
6.25,6.38,6.1,6.3,19039.0
6.05,6.2,5.98,6.1,7527.0
5.8,6.0,5.75,6.0,5160.0
5.7,5.85,5.6,5.7,26948.0
5.57,5.74,5.5,5.63,24708.0
5.75,5.75,5.5,5.68,28561.0
5.8,5.8,5.67,5.74,26817.0
5.7,5.74,5.5,5.6,27466.0
5.51,5.7,5.5,5.7,48469.0
5.45,5.55,5.4,5.55,19282.0
5.44,5.52,5.3,5.52,26351.0
5.6,5.75,5.5,5.75,43842.0
5.77,5.77,5.56,5.62,63914.0
5.7,5.9,5.69,5.7,254921.0
5.78,5.78,5.52,5.62,44227.0
5.64,5.84,5.5,5.5,6310.0
5.43,5.6,5.43,5.6,8933.0
5.53,5.9,5.53,5.88,35857.0
6.0,6.08,5.92,5.94,37997.0
5.82,6.13,5.82,6.05,14387.0
