Open,High,Low,Close,Volume
19.25,20.12,19.05,20.1,9527000.0
20.35,20.39,19.85,20.0,1377700.0
20.05,20.05,19.7,19.9,1048700.0
19.8,19.8,18.75,19.1,926300.0
19.75,19.75,19.05,19.75,861600.0
19.68,19.85,19.5,19.7,872100.0
19.85,19.85,19.2,19.35,440700.0
19.3,19.65,19.08,19.5,431700.0
19.4,19.7,19.09,19.5,345200.0
19.35,19.36,19.0,19.15,511400.0
19.2,19.45,19.1,19.1,343900.0
19.05,19.55,18.98,19.37,239200.0
19.45,19.81,19.42,19.7,397600.0
19.6,19.65,19.16,19.25,430600.0
19.24,19.43,19.2,19.35,164600.0
19.35,20.6,19.35,20.42,337600.0
20.3,21.0,20.3,20.9,200100.0
20.8,21.4,20.75,21.17,682800.0
21.9,21.9,21.0,21.2,727400.0
21.2,21.5,20.65,21.02,632900.0
21.2,21.2,20.84,21.0,212100.0
21.0,21.1,19.9,20.35,213500.0
20.4,20.4,19.05,19.3,275900.0
19.45,19.5,18.6,18.7,403700.0
18.55,18.55,17.0,18.02,1154500.0
19.25,19.25,18.02,18.75,553400.0
18.75,19.59,18.51,19.3,311800.0
19.5,19.81,19.18,19.72,946400.0
20.0,20.1,19.78,19.98,227100.0
21.0,21.0,19.9,20.6,171200.0
20.5,20.6,20.1,20.2,214300.0
20.05,20.05,19.0,19.05,235000.0
19.0,19.0,18.35,18.64,262300.0
18.65,18.8,18.44,18.6,70900.0
18.55,19.05,18.55,18.95,95400.0
18.95,19.4,18.49,18.49,104700.0
18.6,18.6,17.77,18.3,194800.0
18.2,19.2,18.2,18.95,445300.0
18.9,19.05,18.75,18.92,162800.0
18.91,18.91,18.5,18.5,180500.0
18.65,18.65,18.06,18.25,154500.0
18.2,18.57,18.19,18.56,194900.0
18.75,19.2,18.75,19.0,153200.0
19.25,20.25,19.25,19.81,418600.0
19.81,20.15,19.74,19.81,123100.0
19.81,20.35,19.81,20.27,80800.0
20.15,20.15,19.81,20.0,96600.0
19.95,20.25,19.5,19.55,103100.0
19.52,19.61,19.4,19.41,133100.0
19.41,19.41,19.17,19.4,215900.0
19.3,19.58,19.25,19.25,206700.0
19.15,19.15,18.8,18.9,320300.0
18.75,19.3,18.7,19.05,861800.0
19.3,20.5,19.3,20.5,209000.0
20.4,20.99,20.4,20.83,414500.0
20.8,20.81,20.56,20.8,57900.0
20.79,22.59,20.79,21.75,268300.0
21.65,22.0,21.45,21.5,56600.0
21.7,22.5,21.7,22.4,82300.0
22.5,23.2,22.5,22.85,105900.0
23.0,23.43,22.0,22.06,87000.0
22.07,22.07,20.85,21.5,241200.0
22.0,22.4,20.8,20.8,494800.0
20.7,21.0,19.85,19.85,728700.0
19.85,20.7,19.85,20.6,660800.0
20.75,21.5,20.75,21.23,543900.0
21.23,21.5,21.1,21.38,292000.0
22.6,22.65,20.45,20.5,484000.0
20.46,21.5,20.3,21.25,230900.0
21.25,22.7,21.25,22.41,269700.0
22.34,23.7,22.34,23.46,276500.0
23.55,24.29,23.3,24.21,260300.0
24.21,24.21,23.5,23.6,591000.0
23.6,23.6,23.15,23.26,492700.0
23.26,24.3,23.26,24.19,338500.0
24.19,24.19,23.14,23.25,227200.0
23.21,23.9,22.9,23.43,241700.0
23.5,23.68,23.11,23.25,219000.0
23.25,23.65,23.19,23.25,175400.0
23.0,23.24,22.56,22.95,219000.0
22.95,23.3,22.3,22.5,106800.0
22.62,22.75,22.52,22.75,40400.0
22.51,22.52,21.82,22.4,66500.0
22.4,23.1,22.1,22.96,162200.0
22.94,22.94,21.35,22.51,89800.0
22.6,23.45,22.6,23.02,117100.0
23.02,23.15,22.3,22.52,32500.0
22.5,23.15,22.5,23.0,113200.0
22.86,22.86,21.79,21.9,63700.0
21.75,21.75,20.9,21.0,127000.0
21.0,21.0,19.9,20.52,136600.0
20.52,20.79,19.98,19.98,103700.0
19.75,19.75,18.36,18.95,360300.0
19.1,20.0,18.91,20.0,204000.0
19.95,21.32,19.83,20.99,435000.0
20.9,20.99,19.65,19.74,136000.0
19.73,19.73,17.87,18.76,204700.0
18.7,19.1,17.25,18.5,278300.0
18.6,19.46,18.6,19.01,56900.0
19.1,20.35,18.98,19.81,179200.0
19.7,20.43,19.24,19.5,270300.0
19.5,20.1,18.95,19.2,268000.0
19.05,19.09,17.75,18.43,305400.0
18.43,18.43,17.57,17.69,131600.0
17.67,17.67,15.8,16.7,162500.0
16.45,16.87,16.09,16.19,155800.0
16.24,16.65,14.3,16.09,799800.0
16.09,16.4,15.96,16.04,157700.0
15.95,16.01,15.65,15.78,169200.0
15.72,16.47,15.6,15.8,124900.0
15.9,16.4,15.25,16.0,317000.0
15.8,17.62,14.99,17.59,223100.0
17.6,17.6,16.6,16.98,70100.0
16.99,17.7,16.99,17.54,83600.0
17.56,18.35,17.56,18.3,117000.0
18.3,18.4,17.65,17.95,89600.0
17.75,17.76,17.23,17.5,97200.0
17.4,17.4,16.21,16.69,126400.0
16.55,16.55,14.85,15.1,137400.0
15.1,15.68,15.1,15.35,87800.0
15.5,15.89,15.5,15.79,211100.0
15.82,16.0,15.45,15.89,195100.0
15.8,15.85,13.85,14.9,617200.0
14.9,15.6,14.9,15.25,118300.0
15.24,16.25,15.2,16.25,115800.0
16.5,17.21,16.26,16.35,220100.0
16.35,17.8,16.35,17.3,403100.0
18.0,18.75,18.0,18.1,425900.0
18.1,19.8,18.1,18.93,215400.0
18.93,20.43,18.7,19.95,215300.0
20.7,21.5,20.2,20.92,679100.0
20.95,21.5,20.52,21.45,249300.0
21.2,21.5,20.4,20.5,379400.0
20.5,20.51,19.75,19.75,166700.0
19.76,20.75,19.73,20.66,258700.0
20.7,21.04,20.45,20.61,233100.0
20.55,21.25,20.36,20.9,307700.0
20.82,21.44,20.47,21.43,173500.0
21.6,21.99,20.8,20.8,97300.0
20.8,20.8,19.55,20.0,135700.0
20.2,20.58,18.6,18.6,288600.0
18.5,19.5,18.43,19.18,161600.0
19.25,19.8,19.25,19.61,167400.0
19.65,20.05,18.6,20.05,212500.0
20.12,20.49,19.84,20.4,177100.0
20.6,20.89,20.6,20.8,74900.0
21.05,21.08,20.4,20.4,146500.0
20.2,20.2,19.6,19.6,36000.0
19.61,20.24,19.6,20.21,60600.0
20.46,20.86,19.86,20.42,48600.0
20.3,20.39,19.85,20.1,51000.0
20.2,20.75,20.0,20.28,384800.0
20.87,20.87,19.8,20.05,92200.0
20.06,20.09,19.88,19.9,199400.0
19.86,19.87,18.65,19.42,137400.0
19.46,19.77,19.45,19.65,105000.0
19.8,20.65,19.75,20.65,169200.0
20.65,22.15,20.65,21.28,367300.0
21.28,21.4,19.45,20.45,286300.0
20.45,20.45,19.01,20.0,426400.0
19.85,19.99,19.3,19.8,195000.0
19.88,19.88,19.15,19.15,151500.0
19.29,19.65,18.5,19.31,257600.0
19.1,19.2,18.6,18.6,177600.0
18.8,19.28,18.77,18.9,156900.0
18.8,18.9,17.47,17.47,185300.0
17.5,18.73,17.27,18.31,256600.0
18.41,18.75,18.4,18.57,228500.0
18.47,18.85,18.35,18.74,84200.0
19.5,19.85,19.17,19.59,230100.0
19.51,19.7,19.16,19.5,142300.0
19.7,20.66,19.48,19.78,161100.0
19.78,20.89,19.76,20.35,178400.0
20.36,20.99,20.1,20.85,202100.0
18.2,19.8,18.2,19.17,898400.0
19.14,20.04,19.14,19.94,148100.0
20.1,20.48,20.1,20.4,162600.0
20.3,21.0,20.24,20.35,304400.0
20.5,20.5,18.52,18.55,590300.0
18.56,18.56,17.82,18.0,608900.0
18.3,18.55,17.96,18.0,615800.0
18.15,18.15,17.8,17.9,205500.0
17.9,17.9,17.18,17.63,342800.0
17.88,18.35,17.88,18.08,167100.0
18.09,18.75,17.91,18.75,278100.0
18.77,18.98,18.5,18.6,113800.0
18.45,18.76,18.25,18.47,104300.0
18.47,18.47,17.03,17.03,283300.0
17.1,17.48,16.9,17.4,135200.0
17.45,19.02,17.44,18.4,316500.0
18.4,19.16,18.02,19.0,470800.0
19.1,19.53,18.75,19.0,219400.0
19.1,20.4,19.1,20.17,313400.0
20.9,20.95,19.8,20.24,515000.0
19.05,19.1,17.6,19.1,1175000.0
19.1,19.55,18.55,19.25,269300.0
19.4,19.7,18.75,19.44,364400.0
19.44,19.44,18.3,18.5,477100.0
18.7,18.95,18.5,18.56,212800.0
18.57,18.83,18.06,18.5,222800.0
18.6,18.87,18.48,18.67,177300.0
19.15,19.15,18.6,18.6,57700.0
19.0,19.75,18.75,18.9,466000.0
18.75,19.33,18.26,19.06,208800.0
18.95,19.25,18.8,18.8,193400.0
18.85,19.73,18.8,19.25,307900.0
19.15,19.3,18.75,19.22,140900.0
18.6,18.72,17.95,18.15,175900.0
18.35,18.6,18.04,18.12,286200.0
18.2,18.36,17.15,17.21,373600.0
17.21,18.1,17.15,18.1,199800.0
17.7,17.7,15.8,15.8,645400.0
16.0,16.29,15.9,16.0,376400.0
16.2,16.24,14.55,14.9,820200.0
13.5,13.7,12.68,13.32,1906700.0
