Open,High,Low,Close,Volume
58.25,59.38,57.88,59.0,4212600.0
58.63,58.94,57.31,57.75,3226800.0
57.19,57.75,56.06,56.88,3958700.0
57.5,57.5,56.06,56.69,3768500.0
57.94,58.44,57.63,58.13,4104800.0
57.94,58.94,57.69,58.81,2735000.0
58.81,58.81,57.25,57.69,2228200.0
57.06,58.25,57.0,57.88,2574500.0
57.81,57.94,56.5,56.75,2422300.0
57.0,57.5,56.56,57.5,2416300.0
57.5,58.31,57.5,58.25,2770900.0
58.31,59.25,57.75,59.25,3279400.0
58.69,60.0,58.5,59.94,3952500.0
60.0,60.81,59.25,60.44,3298200.0
60.5,60.69,59.69,60.5,3750900.0
61.5,66.06,61.5,65.38,12510900.0
66.0,66.94,65.81,66.63,9632900.0
66.44,68.44,66.19,67.94,5825600.0
67.13,67.88,66.56,66.56,1653300.0
65.88,67.19,65.75,67.06,4260100.0
66.63,67.94,66.5,67.19,3775500.0
66.69,69.0,66.69,68.19,5430800.0
67.0,67.94,67.0,67.44,2376800.0
68.25,69.0,67.81,68.31,3834100.0
68.19,68.19,62.63,64.6,13263800.0
62.5,62.75,58.75,59.0,18069100.0
60.13,60.88,59.38,60.0,10011400.0
61.0,62.19,60.06,62.13,6862700.0
62.5,63.38,62.13,63.25,5859500.0
63.0,63.0,61.38,62.0,2793100.0
61.56,61.94,61.06,61.25,3560600.0
61.0,61.19,59.38,59.88,4527100.0
60.38,60.38,57.88,58.5,5302600.0
58.5,59.88,57.38,59.75,8015000.0
59.75,60.38,58.5,59.56,3791800.0
59.69,60.0,58.13,58.44,3173200.0
60.25,60.75,58.5,58.5,4526700.0
59.5,60.25,58.81,59.25,3369700.0
59.25,59.94,58.56,59.5,3091200.0
59.38,59.63,58.69,59.13,2366100.0
59.88,59.88,58.63,58.94,1827800.0
59.19,59.44,58.44,58.44,1984600.0
58.88,58.88,58.06,58.25,1414900.0
57.31,58.0,55.25,56.25,5498500.0
55.75,56.81,55.63,56.44,3654000.0
56.44,57.44,56.06,57.06,4728700.0
57.06,57.69,56.56,57.0,3564600.0
58.5,60.75,57.88,60.75,5737000.0
60.5,60.94,58.75,58.81,4361900.0
60.94,61.25,60.13,60.81,4699000.0
60.81,61.81,60.44,61.5,4194900.0
61.44,61.44,60.44,60.56,3053000.0
61.94,61.94,60.69,61.06,3756600.0
61.31,65.0,61.06,65.0,9175400.0
65.0,65.25,63.75,65.25,6406700.0
65.31,65.94,65.13,65.88,5769900.0
66.75,66.88,65.75,66.88,5692900.0
66.0,66.75,63.56,64.88,5653000.0
64.0,66.06,62.88,65.88,4859300.0
64.25,65.5,62.75,63.06,11861900.0
62.63,62.69,58.44,59.5,8775400.0
59.44,59.56,56.94,56.94,5437600.0
57.06,58.75,56.56,57.44,5367300.0
57.75,58.38,56.31,58.13,4057300.0
57.56,57.88,56.38,56.38,3582000.0
56.5,56.75,55.06,55.25,4732200.0
55.25,57.75,55.25,56.25,5750900.0
56.06,57.63,55.56,56.88,3871400.0
57.44,57.88,56.75,57.19,4130600.0
57.0,57.75,56.75,57.0,3974300.0
57.25,57.38,56.25,56.69,4015500.0
55.75,55.94,54.88,55.56,3844300.0
55.06,55.25,53.81,54.13,3567000.0
53.38,55.75,53.25,55.69,3925400.0
55.06,55.44,53.25,53.56,3434600.0
53.5,53.56,51.19,52.31,5830500.0
51.5,52.31,50.75,51.38,5721700.0
50.81,52.63,50.5,51.75,5271500.0
51.38,51.44,50.0,51.25,5510800.0
50.38,50.5,48.31,49.81,7725800.0
49.75,50.69,48.06,48.69,5452600.0
48.06,49.69,47.56,49.31,5395400.0
48.13,48.81,47.63,48.63,5173100.0
49.19,51.38,49.19,51.0,7806100.0
51.19,51.81,49.38,49.63,5679300.0
50.13,50.38,49.06,50.13,4505300.0
49.19,49.5,48.31,49.0,3933000.0
48.38,49.0,44.81,47.13,11720100.0
46.63,48.06,45.88,47.5,7220800.0
47.56,47.56,45.88,46.75,6194700.0
