Open,High,Low,Close,Volume
95.13,96.19,93.75,94.0,1091000.0
94.75,96.13,94.44,94.88,1395300.0
94.63,95.69,94.31,94.5,1230900.0
94.88,95.88,94.56,94.75,1211200.0
95.5,96.25,95.25,95.69,756400.0
95.31,96.19,94.69,95.0,894100.0
95.25,95.38,94.0,94.06,822900.0
93.5,94.94,93.13,94.75,847600.0
94.5,95.19,93.94,94.0,686200.0
94.25,95.81,93.81,95.69,1435700.0
95.25,98.38,95.19,97.44,802400.0
97.5,101.2,97.5,101.1,1630100.0
100.0,102.3,100.0,101.5,1156500.0
101.6,103.4,101.3,102.8,1359000.0
102.9,103.1,101.9,102.3,1182700.0
100.5,100.9,98.94,98.94,1009500.0
98.69,98.69,96.38,96.75,1267800.0
96.5,98.38,96.0,96.06,1441900.0
96.06,96.06,95.44,95.5,409200.0
94.25,95.0,93.19,94.94,1336500.0
94.63,95.81,93.81,95.56,1615400.0
94.69,95.25,93.56,94.44,1031300.0
95.0,98.44,94.94,97.19,1308700.0
97.5,100.8,97.5,99.31,1530300.0
98.5,99.06,97.38,97.81,641100.0
97.5,97.5,93.0,93.0,1095200.0
93.88,95.44,93.13,94.0,1062300.0
95.25,96.06,93.5,93.69,770700.0
93.38,94.38,93.0,93.94,720400.0
93.75,94.5,92.94,93.74,876000.0
94.0,96.88,93.94,94.19,1334300.0
94.0,96.06,94.0,95.25,1489900.0
94.5,94.69,93.56,93.69,811400.0
95.0,95.75,94.5,95.13,2287400.0
93.5,94.56,92.06,93.46,1065900.0
93.25,94.25,91.88,92.0,1398000.0
92.13,94.63,92.13,92.31,1147900.0
93.0,93.56,92.88,93.06,851800.0
92.06,95.0,92.06,93.75,930500.0
93.81,96.88,93.5,96.88,893200.0
96.63,97.75,95.81,97.5,971000.0
97.38,98.81,96.38,96.38,853200.0
96.81,98.75,96.0,97.88,510600.0
96.06,96.44,94.06,94.38,1086700.0
92.88,94.81,90.63,90.63,1356900.0
91.13,95.31,91.13,95.25,1849700.0
94.31,102.5,94.31,100.8,2987900.0
101.1,103.8,99.94,102.8,2050600.0
100.4,103.5,100.0,102.3,1931900.0
100.8,102.5,100.5,100.5,1178800.0
101.9,103.6,100.8,100.8,1434200.0
101.3,101.9,100.4,100.8,1122200.0
100.8,100.9,98.94,99.31,1270900.0
97.25,99.25,97.13,97.13,1057400.0
97.75,99.94,97.75,98.81,1314100.0
99.06,99.38,94.5,95.13,1552300.0
95.25,96.56,94.56,94.94,2245900.0
95.81,95.81,91.63,92.75,1485500.0
94.88,94.88,90.25,91.38,1845600.0
95.88,97.5,95.31,96.31,3510400.0
97.19,98.31,96.06,96.25,1457400.0
95.75,95.81,92.25,92.25,1873700.0
92.25,97.38,92.06,93.63,1641400.0
94.38,96.19,93.75,94.13,1321100.0
93.19,94.0,92.0,92.5,1462100.0
91.94,92.13,90.0,91.69,1760300.0
91.94,92.44,89.06,89.06,1646700.0
89.25,89.38,86.63,87.63,1967700.0
87.63,90.19,87.44,87.69,1442000.0
88.63,89.0,87.5,87.63,1300200.0
87.25,87.25,85.31,86.0,2010000.0
85.38,86.5,81.31,82.94,2245800.0
83.25,84.75,82.38,82.88,1678200.0
83.75,90.56,83.5,89.13,1868000.0
88.38,90.38,87.56,88.31,1290900.0
89.0,91.88,88.94,89.63,1702700.0
89.88,90.69,86.38,87.56,1432100.0
87.75,90.44,86.5,90.13,1442300.0
91.38,93.94,90.81,92.31,2230400.0
91.88,92.13,89.56,91.0,1900100.0
88.13,89.31,85.19,85.75,1813600.0
86.94,88.88,85.0,86.44,1538300.0
85.31,89.19,84.63,88.19,1382700.0
87.19,87.75,85.06,86.13,1445800.0
86.13,87.75,85.69,86.06,1093000.0
87.75,94.63,87.5,89.5,2290500.0
89.31,91.25,87.25,87.25,1026300.0
88.25,88.88,82.0,82.75,2597800.0
82.88,84.25,81.0,82.56,2346600.0
80.81,81.94,80.5,80.94,1629100.0
80.63,82.69,80.38,81.5,2875800.0
79.0,80.5,78.75,79.0,1893900.0
79.19,80.0,78.56,79.13,1578300.0
78.19,83.75,78.19,82.5,2120000.0
84.75,89.25,83.94,88.06,2402400.0
86.94,89.19,85.88,85.88,2034100.0
85.94,87.81,85.38,87.0,1363800.0
86.81,91.5,86.56,90.44,1913800.0
89.0,89.38,85.0,86.0,2202400.0
84.75,87.25,84.75,87.0,2486000.0
90.0,93.25,89.69,90.88,2962500.0
90.94,91.94,88.13,88.63,1627100.0
88.0,90.56,87.63,88.88,1224000.0
89.0,89.0,87.38,87.63,1640400.0
88.06,91.75,87.63,89.0,1577900.0
90.38,92.0,88.56,88.56,1229600.0
89.38,92.38,89.25,91.88,1435700.0
92.0,95.56,89.5,92.94,2420500.0
92.88,94.81,91.06,91.13,1437900.0
91.31,94.88,91.31,93.38,878200.0
93.63,95.13,91.63,91.63,1250600.0
91.88,94.88,91.75,92.75,1055300.0
92.75,97.06,92.75,95.44,1476100.0
97.31,98.31,94.63,94.63,1227300.0
94.63,96.38,91.75,94.75,2076100.0
94.06,94.31,88.31,90.81,3070800.0
89.19,90.56,88.06,89.88,1446800.0
90.13,90.13,88.0,89.88,1209600.0
89.63,91.88,89.13,90.44,832600.0
90.44,92.31,90.0,92.25,991900.0
91.25,97.63,91.25,97.38,1779100.0
96.13,96.31,88.5,93.81,4522100.0
93.5,93.5,87.38,88.94,3478300.0
88.5,89.88,85.31,87.44,2417600.0
87.44,87.56,86.0,86.63,1473500.0
86.69,88.56,85.06,86.94,1738200.0
86.0,87.56,85.63,86.94,1229600.0
86.94,88.25,85.31,85.81,1222600.0
86.19,87.69,84.75,85.44,1383100.0
85.19,87.25,84.81,86.69,1188200.0
87.75,87.75,85.5,87.31,880000.0
87.0,87.88,85.5,86.0,974600.0
86.25,86.5,84.81,85.94,999200.0
86.31,86.88,85.56,85.94,1173700.0
85.25,86.0,84.5,84.88,919200.0
85.38,86.94,85.31,85.94,1317500.0
86.19,91.31,85.56,90.06,2025700.0
88.38,89.13,87.63,88.0,1096500.0
88.19,88.63,87.0,87.06,799800.0
86.19,86.63,83.75,84.5,1374700.0
84.75,85.38,83.38,84.19,1284300.0
84.19,84.69,83.25,84.13,764200.0
85.0,88.75,85.0,88.19,1620500.0
87.31,88.25,84.0,84.94,1256400.0
85.19,86.38,84.0,84.0,892300.0
