Open,High,Low,Close,Volume
50.19,50.25,49.25,50.0,384400.0
50.0,50.63,49.94,50.25,317000.0
49.81,49.94,49.38,49.69,324500.0
49.44,49.56,48.44,48.81,448300.0
49.19,49.81,48.75,49.0,269800.0
49.0,49.0,48.0,48.06,458800.0
48.06,48.13,46.75,47.19,679400.0
47.13,47.13,46.5,46.75,816000.0
47.0,47.31,46.81,47.0,737400.0
47.13,47.25,46.19,46.75,1746600.0
46.31,46.69,46.31,46.44,396700.0
46.56,46.75,46.31,46.63,350400.0
46.44,46.69,46.31,46.63,449700.0
46.25,46.56,45.63,45.88,532200.0
45.75,46.0,45.25,45.38,474700.0
45.13,45.31,44.75,44.75,269400.0
44.88,45.0,43.5,43.94,2438100.0
43.88,44.31,43.56,43.94,455300.0
43.94,44.0,43.31,43.5,133700.0
42.75,42.75,41.81,42.13,685300.0
42.31,44.0,42.25,43.75,1001400.0
43.5,44.31,43.25,44.06,804500.0
44.0,44.44,44.0,44.0,511000.0
44.13,45.13,44.13,44.44,476000.0
44.31,44.81,43.81,43.94,642400.0
43.94,44.31,43.0,43.0,930600.0
43.19,43.56,42.5,42.75,487400.0
42.44,42.63,42.0,42.06,420700.0
42.5,42.88,41.81,41.88,1212800.0
41.75,41.94,41.13,41.94,610400.0
41.63,42.63,41.63,42.38,966200.0
42.88,43.19,42.31,42.69,566200.0
42.81,42.81,42.25,42.63,562800.0
42.75,42.75,42.75,42.75,700900.0
42.25,42.75,42.0,42.19,820300.0
42.0,43.13,42.0,42.25,719100.0
42.5,42.69,41.81,42.25,419300.0
42.69,43.06,42.38,42.88,360400.0
42.94,43.63,42.88,43.13,389300.0
43.0,43.06,42.69,42.81,317500.0
42.63,43.06,42.19,42.38,240500.0
42.38,42.81,42.38,42.69,455400.0
42.44,42.88,42.44,42.81,166200.0
42.38,42.38,41.06,41.25,512100.0
41.0,42.13,41.0,42.0,685900.0
41.63,44.25,41.63,43.25,686100.0
43.44,43.81,43.0,43.38,370000.0
43.63,44.81,43.25,44.63,999900.0
44.0,44.56,43.81,44.25,521000.0
43.88,44.13,43.56,43.75,515300.0
43.75,44.94,43.75,44.69,774200.0
44.81,44.81,44.0,44.25,459300.0
44.13,44.38,43.13,43.44,508800.0
43.19,43.19,42.0,42.38,676000.0
42.44,44.0,42.44,43.38,429200.0
42.88,43.13,42.19,42.88,695000.0
43.13,44.19,42.69,44.0,504900.0
44.31,45.19,43.63,43.75,871100.0
43.94,44.19,41.88,42.25,861300.0
42.5,42.56,41.63,42.38,515200.0
42.0,42.5,41.25,41.5,469100.0
41.5,41.94,41.06,41.31,586000.0
41.56,42.19,41.31,42.19,332400.0
41.81,42.0,41.31,41.31,314500.0
41.56,41.88,41.31,41.56,640000.0
41.56,43.19,41.38,42.88,950700.0
42.88,42.88,41.06,41.62,548100.0
41.63,42.06,41.63,41.69,501900.0
42.0,42.31,41.63,41.81,391300.0
41.56,41.94,41.0,41.25,702800.0
41.19,41.56,40.13,40.31,397200.0
40.56,40.88,40.25,40.88,356100.0
40.63,41.38,40.5,40.75,258600.0
40.56,41.06,40.5,40.88,451600.0
40.88,41.38,40.69,41.0,920000.0
41.06,41.13,40.56,41.0,733000.0
40.88,41.06,40.13,40.31,1281900.0
40.5,41.19,40.5,40.88,500800.0
40.06,40.5,39.25,40.19,2297500.0
39.69,39.75,37.38,38.0,771000.0
38.0,38.13,36.38,36.81,695100.0
36.81,38.13,36.81,38.13,684500.0
38.13,38.81,37.69,38.63,1221700.0
38.63,39.19,38.06,38.56,1502000.0
38.31,39.0,38.31,38.81,589600.0
39.13,39.5,38.81,39.0,1127600.0
39.25,39.25,37.69,37.94,679100.0
38.0,39.44,37.94,39.31,1243600.0
39.25,41.56,38.81,41.31,963500.0
41.38,42.81,41.31,42.81,1055300.0
42.81,44.38,42.75,43.75,1147000.0
43.5,43.56,41.63,42.13,993700.0
42.25,42.81,41.75,41.88,724700.0
41.94,44.94,41.88,44.38,886400.0
44.69,45.81,43.56,45.0,961200.0
44.88,44.94,43.75,43.88,1315200.0
43.63,44.44,42.63,43.06,843200.0
42.44,42.94,41.19,41.38,1030600.0
41.44,41.44,39.56,40.75,730000.0
41.75,42.94,41.56,42.5,901900.0
43.5,43.56,42.5,43.31,1204000.0
48.0,48.25,46.5,46.63,1359400.0
46.38,46.69,44.69,45.44,811600.0
45.19,46.38,44.06,44.63,780000.0
44.81,46.0,44.75,46.0,543800.0
46.0,46.56,44.88,46.06,961800.0
45.94,46.0,44.81,45.31,763800.0
45.06,46.25,45.06,46.19,979200.0
46.0,47.38,46.0,46.06,946400.0
46.44,46.63,45.38,45.75,719200.0
46.0,46.94,45.38,46.56,791900.0
46.56,47.19,45.75,47.19,789700.0
