Trend,Rise_0,Body_i_0,h_Wick_i_0,l_Wick_i_0,Rise_1,Open_1,High_1,Low_1,Close_1,Body_1,h_Wick_1,l_Wick_1,h_Wick_i_1,l_Wick_i_1,Rise_2,Open_2,High_2,Low_2,Close_2,Body_2,h_Wick_2,l_Wick_2,h_Wick_i_2,l_Wick_i_2,Label,LabelConf
0,1,0.0,1.4499999999999886,0.0,1,0.9892197125256672,0.9838138593829034,0.9892197125256672,0.9892197125256672,5.0,0.6206896551724226,5.0,5.0,5.0,1,0.9901401141670992,0.9933161953727506,0.9901401141670992,0.9901401141670992,5.0,1.3333333333333124,5.0,5.0,5.0,1.0,1.0
0,1,0.0,0.9000000000000057,0.0,1,0.9901401141670992,0.9933161953727506,0.9901401141670992,0.9901401141670992,5.0,1.3333333333333124,5.0,5.0,5.0,1,0.9848008385744236,0.9875776397515528,0.9848008385744236,0.9848008385744236,5.0,1.2083333333333472,5.0,5.0,5.0,1.0,1.0
0,1,0.0,1.1999999999999886,0.0,1,0.9848008385744236,0.9875776397515528,0.9848008385744236,0.9848008385744236,5.0,1.2083333333333472,5.0,5.0,5.0,1,1.0031931878658862,0.9994758909853249,1.0031931878658862,1.0031931878658862,5.0,0.758620689655167,5.0,5.0,5.0,2.0,1.0
0,1,0.0,1.4500000000000028,0.0,1,1.0031931878658862,0.9994758909853249,1.0031931878658862,1.0031931878658862,5.0,0.758620689655167,5.0,5.0,5.0,1,1.010079575596817,1.001048767697955,1.010079575596817,1.010079575596817,5.0,0.2272727272727284,5.0,5.0,5.0,2.0,1.0
0,1,0.0,1.0999999999999943,0.0,1,1.010079575596817,1.001048767697955,1.010079575596817,1.010079575596817,5.0,0.2272727272727284,5.0,5.0,5.0,1,1.013655462184874,1.0151911995809324,1.013655462184874,1.013655462184874,5.0,1.6000000000000227,5.0,5.0,5.0,2.0,1.0
0,1,0.0,0.25,0.0,1,1.013655462184874,1.0151911995809324,1.013655462184874,1.013655462184874,5.0,1.6000000000000227,5.0,5.0,5.0,1,1.001036269430052,0.9969040247678016,1.001036269430052,1.001036269430052,5.0,0.0,5.0,5.0,5.0,2.0,1.0
0,1,0.0,0.4000000000000057,0.0,1,1.001036269430052,0.9969040247678016,1.001036269430052,1.001036269430052,5.0,0.0,5.0,5.0,5.0,1,0.9922360248447204,0.9996894409937888,0.9922360248447204,0.9922360248447204,5.0,5.0,5.0,5.0,5.0,1.0,1.0
1,1,0.0,0.0,0.0,1,0.9922360248447204,0.9996894409937888,0.9922360248447204,0.9922360248447204,5.0,5.0,5.0,5.0,5.0,1,0.996870109546166,0.9966863415139278,0.996870109546166,0.996870109546166,5.0,0.9722222222222276,5.0,5.0,5.0,3.0,1.0
1,1,0.0,0.7199999999999989,0.0,1,0.996870109546166,0.9966863415139278,0.996870109546166,0.996870109546166,5.0,0.9722222222222276,5.0,5.0,5.0,1,1.0136054421768708,1.006233766233766,1.0136054421768708,1.0136054421768708,5.0,0.0,5.0,5.0,5.0,3.0,1.0
1,1,0.0,0.7000000000000028,0.0,1,1.0136054421768708,1.006233766233766,1.0136054421768708,1.0136054421768708,5.0,0.0,5.0,5.0,5.0,1,1.0,1.0082601961796591,1.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0
